BIOGUIDE_ID,OFFICE,QUARTER,PROGRAM,CATEGORY,DATE,TRANSCODE,RECORDID,PAYEE,START DATE,END DATE,PURPOSE,AMOUNT,YEAR,RECIP (orig.)
H001068,HON. JARED HUFFMAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/1/2017,AP,E0480908,HON JARED HUFFMAN,1/2/2017,1/9/2017,TAXI/PARKING/TOLLS,125,2017,HON JARED HUFFMAN
H001068,HON. JARED HUFFMAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/17/2017,AP,E0488533,HON JARED HUFFMAN,1/1/2017,2/8/2017,TAXI/PARKING/TOLLS,354.14,2017,HON JARED HUFFMAN
H001058,HON. BILL HUIZENGA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/29/2017,AP,E0498155,PATRICK BRIAN C.,1/4/2017,1/21/2017,TAXI/PARKING/TOLLS,111.84,2017,PATRICK BRIAN C.
H001059,HON. RANDY HULTGREN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/17/2017,AP,E0495550,HULSE WILLIAM R.,3/2/2017,3/3/2017,TAXI/PARKING/TOLLS,135.67,2017,HULSE WILLIAM R.
H001073,HON. WILL HURD,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/27/2017,AP,E0498998,BURKE STONEY G.,2/1/2017,2/19/2017,TAXI/PARKING/TOLLS,170.85,2017,BURKE STONEY G.
I000056,HON. DARRELL E. ISSA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/17/2017,AP,E0496387,MOORE CALVIN C.,2/20/2017,2/20/2017,TAXI/PARKING/TOLLS,120.76,2017,MOORE CALVIN C.
J000032,HON. SHEILA JACKSON LEE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/3/2017,AP,E0473525,CITIBANK GOV CARD SERVICE,10/29/2016,11/18/2016,TAXI/PARKING/TOLLS,142.41,2016,CITIBANK GOV CARD SERVICE
J000298,HON. PRAMILA JAYAPAL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/13/2017,AP,E0484577,MAIORIELLO-GALLUS CARMEN,1/19/2016,1/23/2017,TAXI/PARKING/TOLLS,169.72,2017,MAIORIELLO-GALLUS CARMEN
J000298,HON. PRAMILA JAYAPAL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/7/2017,AP,E0491087,HON PRAMILA JAYAPAL,1/5/2017,2/3/2017,TAXI/PARKING/TOLLS,236.7,2017,HON PRAMILA JAYAPAL
J000298,HON. PRAMILA JAYAPAL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/10/2017,AP,E0493433,CARSTENSEN ZACHARY A.,1/28/2017,2/8/2017,TAXI/PARKING/TOLLS,239.56,2017,CARSTENSEN ZACHARY A.
J000294,HON. HAKEEM S. JEFFRIES,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/6/2017,AP,E0492373,CITIBANK GOV CARD SERVICE,12/29/2016,1/28/2017,TAXI/PARKING/TOLLS,654.79,2017,CITIBANK GOV CARD SERVICE
J000294,HON. HAKEEM S. JEFFRIES,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/7/2017,AP,E0493567,HARRIS WILLIAM J.,2/16/2017,2/27/2017,TAXI/PARKING/TOLLS,144.41,2017,HARRIS WILLIAM J.
J000294,HON. HAKEEM S. JEFFRIES,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/28/2017,AP,E0500212,CITIBANK GOV CARD SERVICE,1/29/2017,2/28/2017,TAXI/PARKING/TOLLS,192.72,2017,CITIBANK GOV CARD SERVICE
J000294,HON. HAKEEM S. JEFFRIES,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/29/2017,AP,E0500545,CITIBANK GOV CARD SERVICE,1/29/2017,2/28/2017,TAXI/PARKING/TOLLS,917.42,2017,CITIBANK GOV CARD SERVICE
J000294,HON. HAKEEM S. JEFFRIES,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/25/2017,AP,E0480398,CITIBANK GOV CARD SERVICE,11/29/2016,12/28/2016,TAXI/PARKING/TOLLS,350.22,2016,CITIBANK GOV CARD SERVICE
J000294,HON. HAKEEM S. JEFFRIES,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/27/2017,AP,E0481380,CITIBANK GOV CARD SERVICE,11/29/2016,12/28/2016,TAXI/PARKING/TOLLS,107.29,2016,CITIBANK GOV CARD SERVICE
J000297,HON. EVAN H. JENKINS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/13/2017,AP,E0477792,CITIBANK GOV CARD SERVICE,12/1/2016,12/2/2016,TAXI/PARKING/TOLLS,175.76,2016,CITIBANK GOV CARD SERVICE
J000290,HON. LYNN JENKINS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/24/2017,AP,E0480487,CITIBANK GOV CARD SERVICE,12/6/2016,12/8/2016,TAXI/PARKING/TOLLS,512.96,2016,CITIBANK GOV CARD SERVICE
J000292,HON. BILL JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/13/2017,AP,E0493835,CITIBANK GOV CARD SERVICE,1/31/2017,2/16/2017,TAXI/PARKING/TOLLS,122.83,2017,CITIBANK GOV CARD SERVICE
J000288,"HON. HENRY C. ""HANK"" JOHNSON  JR.",2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/21/2017,AP,E0486733,CITIBANK GOV CARD SERVICE,1/11/2017,1/11/2017,TAXI/PARKING/TOLLS,140.1,2017,CITIBANK GOV CARD SERVICE
J000289,HON. JIM JORDAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/1/2017,AP,E0489622,CITIBANK GOV CARD SERVICE,1/3/2017,1/25/2017,TAXI/PARKING/TOLLS,174.19,2017,CITIBANK GOV CARD SERVICE
J000289,HON. JIM JORDAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/30/2017,AP,E0498916,CITIBANK GOV CARD SERVICE,1/31/2017,2/17/2017,TAXI/PARKING/TOLLS,149.64,2017,CITIBANK GOV CARD SERVICE
J000295,HON. DAVID P. JOYCE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/23/2017,AP,E0498462,CITIBANK GOV CARD SERVICE,2/2/2017,2/16/2017,TAXI/PARKING/TOLLS,141.76,2017,CITIBANK GOV CARD SERVICE
J000295,HON. DAVID P. JOYCE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/30/2017,AP,E0498845,LOLLI TIMOTHY R.,2/14/2017,2/28/2017,TAXI/PARKING/TOLLS,114.29,2017,LOLLI TIMOTHY R.
K000009,HON. MARCY KAPTUR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/3/2017,AP,E0479653,KATICH III STEVE J.,1/9/2017,1/12/2017,TAXI/PARKING/TOLLS,151.4,2017,KATICH III STEVE J.
K000375,HON. WILLIAM R. KEATING,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/18/2017,AP,E0479069,WASIELESKI KAREN A.,1/2/2017,1/5/2017,TAXI/PARKING/TOLLS,100.96,2017,WASIELESKI KAREN A.
K000375,HON. WILLIAM R. KEATING,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/23/2017,AP,E0479064,MADDOCK RYAN P.,1/2/2017,1/4/2017,TAXI/PARKING/TOLLS,106.74,2017,MADDOCK RYAN P.
K000375,HON. WILLIAM R. KEATING,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/13/2017,AP,E0486482,TROMBLY IAN A.,1/2/2017,1/4/2017,TAXI/PARKING/TOLLS,114.09,2017,TROMBLY IAN A.
K000375,HON. WILLIAM R. KEATING,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/1/2017,AP,E0491586,CITIBANK GOV CARD SERVICE,1/3/2017,1/25/2017,TAXI/PARKING/TOLLS,385.39,2017,CITIBANK GOV CARD SERVICE
K000375,HON. WILLIAM R. KEATING,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/7/2017,AP,E0493912,MADDOCK RYAN P.,1/31/2017,2/4/2017,TAXI/PARKING/TOLLS,113,2017,MADDOCK RYAN P.
K000375,HON. WILLIAM R. KEATING,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/16/2017,AP,E0496690,MADDOCK RYAN P.,1/31/2017,2/4/2017,TAXI/PARKING/TOLLS,107.61,2017,MADDOCK RYAN P.
K000375,HON. WILLIAM R. KEATING,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/29/2017,AP,E0500540,CITIBANK GOV CARD SERVICE,2/13/2017,2/27/2017,TAXI/PARKING/TOLLS,290.35,2017,CITIBANK GOV CARD SERVICE
K000375,HON. WILLIAM R. KEATING,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/24/2017,AP,E0480254,CITIBANK GOV CARD SERVICE,11/14/2016,11/17/2016,TAXI/PARKING/TOLLS,114.39,2016,CITIBANK GOV CARD SERVICE
K000375,HON. WILLIAM R. KEATING,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/31/2017,AP,E0482974,CITIBANK GOV CARD SERVICE,11/30/2016,12/16/2016,TAXI/PARKING/TOLLS,303.04,2016,CITIBANK GOV CARD SERVICE
K000375,HON. WILLIAM R. KEATING,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/2/2017,AP,E0491590,IZAGUIRRE GLENDA,9/9/2016,9/23/2016,TAXI/PARKING/TOLLS,112,2016,IZAGUIRRE GLENDA
K000376,HON. MIKE KELLY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/21/2017,AP,E0488462,HON. MIKE KELLY,1/30/2017,2/6/2017,TAXI/PARKING/TOLLS,288,2017,HON. MIKE KELLY
K000376,HON. MIKE KELLY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/8/2017,AP,E0493618,CITIBANK GOV CARD SERVICE,1/3/2017,1/25/2017,TAXI/PARKING/TOLLS,478.21,2017,CITIBANK GOV CARD SERVICE
K000376,HON. MIKE KELLY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/22/2017,AP,E0498059,CITIBANK GOV CARD SERVICE,1/31/2017,2/3/2017,TAXI/PARKING/TOLLS,189.71,2017,CITIBANK GOV CARD SERVICE
K000376,HON. MIKE KELLY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/13/2017,AP,E0477728,CITIBANK GOV CARD SERVICE,11/29/2016,12/11/2016,TAXI/PARKING/TOLLS,168,2016,CITIBANK GOV CARD SERVICE
K000376,HON. ROBIN L. KELLY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/27/2017,AP,E0488494,CITIBANK GOV CARD SERVICE,1/3/2017,1/17/2017,TAXI/PARKING/TOLLS,255.85,2017,CITIBANK GOV CARD SERVICE
K000376,HON. ROBIN L. KELLY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/31/2017,AP,E0499000,CHO JAY H.,3/10/2017,3/11/2017,TAXI/PARKING/TOLLS,129.99,2017,CHO JAY H.
K000376,HON. ROBIN L. KELLY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/6/2017,AP,E0472316,BRYANT RICHARD J.,12/15/2016,12/17/2016,TAXI/PARKING/TOLLS,137.36,2016,BRYANT RICHARD J.
K000376,HON. ROBIN L. KELLY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/8/2017,AP,E0473404,BANKS ALAN D.,12/4/2016,12/18/2016,TAXI/PARKING/TOLLS,114.1,2016,BANKS ALAN D.
K000376,HON. ROBIN L. KELLY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/9/2017,AP,E0471673,CITIBANK GOV CARD SERVICE,11/7/2016,11/21/2016,TAXI/PARKING/TOLLS,158.75,2016,CITIBANK GOV CARD SERVICE
K000376,HON. ROBIN L. KELLY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/1/2017,AP,E0479681,CITIBANK GOV CARD SERVICE,11/28/2016,12/19/2016,TAXI/PARKING/TOLLS,208.79,2016,CITIBANK GOV CARD SERVICE
K000376,HON. ROBIN L. KELLY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/3/2017,AP,E0480761,CITIBANK GOV CARD SERVICE,12/16/2016,12/19/2016,TAXI/PARKING/TOLLS,161.56,2016,CITIBANK GOV CARD SERVICE
K000379,HON. JOSEPH P. KENNEDY  III,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/17/2017,AP,E0497208,HON JOSEPH P KENNEDY III,1/13/2017,1/24/2017,TAXI/PARKING/TOLLS,118.4,2017,HON JOSEPH P KENNEDY III
K000379,HON. JOSEPH P. KENNEDY  III,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/17/2017,AP,E0497208,HON JOSEPH P KENNEDY III,2/6/2017,2/16/2017,TAXI/PARKING/TOLLS,178.08,2017,HON JOSEPH P KENNEDY III
K000380,HON. DANIEL T. KILDEE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/23/2017,AP,E0489693,CITIBANK GOV CARD SERVICE,1/3/2017,1/25/2017,TAXI/PARKING/TOLLS,356.29,2017,CITIBANK GOV CARD SERVICE
K000380,HON. DANIEL T. KILDEE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/29/2017,AP,E0497662,CITIBANK GOV CARD SERVICE,1/28/2017,2/27/2017,TAXI/PARKING/TOLLS,406.28,2017,CITIBANK GOV CARD SERVICE
K000380,HON. DANIEL T. KILDEE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/24/2017,AP,E0477925,CITIBANK GOV CARD SERVICE,12/9/2016,12/27/2016,TAXI/PARKING/TOLLS,110.55,2016,CITIBANK GOV CARD SERVICE
K000381,HON. DEREK KILMER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/27/2017,AP,E0487217,CITIBANK GOV CARD SERVICE,1/20/2017,1/20/2017,TAXI/PARKING/TOLLS,216,2017,CITIBANK GOV CARD SERVICE
K000381,HON. DEREK KILMER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/15/2017,AP,E0494363,PHELPS JASON B.,2/19/2017,2/25/2017,TAXI/PARKING/TOLLS,112.01,2017,PHELPS JASON B.
K000188,HON. RON KIND,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/10/2017,AP,E0471578,SUNDBY JANET M.,11/29/2016,12/1/2016,TAXI/PARKING/TOLLS,109.9,2016,SUNDBY JANET M.
K000210,HON. PETER T.  KING,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/26/2017,AP,E0480682,TERRILLION KATHLEEN,1/2/2017,1/4/2017,TAXI/PARKING/TOLLS,143.27,2017,TERRILLION KATHLEEN
K000210,HON. PETER T.  KING,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/23/2017,AP,E0489238,ROSENFELD ANNE M.,1/4/2017,1/4/2017,TAXI/PARKING/TOLLS,118,2017,ROSENFELD ANNE M.
K000210,HON. PETER T.  KING,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/11/2017,AP,E0476703,GORMLEY PATRICIA,1/2/2017,1/2/2017,TAXI/PARKING/TOLLS,177.44,2017,GORMLEY PATRICIA
K000378,HON. ADAM KINZINGER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/1/2017,AP,E0491252,CITIBANK GOV CARD SERVICE,1/6/2017,1/13/2017,TAXI/PARKING/TOLLS,317,2017,CITIBANK GOV CARD SERVICE
K000378,HON. ADAM KINZINGER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/27/2017,AP,E0499795,GILLESPIE MAURA M.,2/16/2017,3/13/2017,TAXI/PARKING/TOLLS,160.82,2017,GILLESPIE MAURA M.
K000378,HON. ADAM KINZINGER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/27/2017,AP,E0499796,CITIBANK GOV CARD SERVICE,1/27/2017,2/17/2017,TAXI/PARKING/TOLLS,871,2017,CITIBANK GOV CARD SERVICE
K000378,HON. ADAM KINZINGER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/19/2017,AP,E0478623,CITIBANK GOV CARD SERVICE,11/14/2016,11/21/2016,TAXI/PARKING/TOLLS,225,2016,CITIBANK GOV CARD SERVICE
K000378,HON. ADAM KINZINGER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/3/2017,AP,E0480710,CITIBANK GOV CARD SERVICE,11/29/2016,12/16/2016,TAXI/PARKING/TOLLS,174,2016,CITIBANK GOV CARD SERVICE
K000368,HON. ANN KIRKPATRICK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/12/2017,AP,E0477350,JOHNSON JENNIFER,10/4/2016,11/10/2016,TAXI/PARKING/TOLLS,153.04,2016,JOHNSON JENNIFER
K000391,HON. RAJA KRISHNAMOORTHI,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/7/2017,AP,E0482337,SCHAUERTE MARK,1/14/2017,1/23/2017,TAXI/PARKING/TOLLS,164.61,2017,SCHAUERTE MARK
K000391,HON. RAJA KRISHNAMOORTHI,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/10/2017,AP,E0484290,HON RAJA KRISHNAMOORTHI,1/19/2017,1/30/2017,TAXI/PARKING/TOLLS,197.66,2017,HON RAJA KRISHNAMOORTHI
K000391,HON. RAJA KRISHNAMOORTHI,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/27/2017,AP,E0487509,SCHAUERTE MARK,1/31/2017,2/6/2017,TAXI/PARKING/TOLLS,179.65,2017,SCHAUERTE MARK
L000573,HON. RAUL R. LABRADOR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/4/2017,AP,E0490395,CITIBANK GOV CARD SERVICE,12/2/2016,12/20/2016,TAXI/PARKING/TOLLS,127.47,2016,CITIBANK GOV CARD SERVICE
L000578,HON. DOUG LAMALFA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/16/2017,AP,E0488906,CITIBANK GOV CARD SERVICE,11/28/2016,12/19/2016,TAXI/PARKING/TOLLS,175.79,2016,CITIBANK GOV CARD SERVICE
L000564,HON. DOUG LAMBORN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/10/2017,AP,E0472340,FLETCHER JAMES S.,12/12/2016,12/12/2016,TAXI/PARKING/TOLLS,162.5,2016,FLETCHER JAMES S.
L000560,HON. RICK LARSEN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/16/2017,AP,E0486101,CITIBANK GOV CARD SERVICE,1/19/2017,1/19/2017,TAXI/PARKING/TOLLS,145,2017,CITIBANK GOV CARD SERVICE
L000560,HON. RICK LARSEN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/22/2017,AP,E0495432,LEMIEUX ADAM S,1/23/2017,1/30/2017,TAXI/PARKING/TOLLS,181.01,2017,LEMIEUX ADAM S
L000560,HON. RICK LARSEN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/27/2017,AP,E0497948,CITIBANK GOV CARD SERVICE,1/13/2017,1/30/2017,TAXI/PARKING/TOLLS,544.5,2017,CITIBANK GOV CARD SERVICE
L000560,HON. RICK LARSEN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/19/2017,AP,E0476808,CITIBANK GOV CARD SERVICE,11/12/2016,11/21/2016,TAXI/PARKING/TOLLS,411.74,2016,CITIBANK GOV CARD SERVICE
L000560,HON. RICK LARSEN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/16/2017,AP,E0486113,CITIBANK GOV CARD SERVICE,12/13/2016,12/16/2016,TAXI/PARKING/TOLLS,286.8,2016,CITIBANK GOV CARD SERVICE
L000566,HON. ROBERT E. LATTA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/7/2017,AP,E0492312,HON. ROBERT E LATTA,1/30/2017,2/8/2017,TAXI/PARKING/TOLLS,184,2017,HON. ROBERT E LATTA
L000566,HON. ROBERT E. LATTA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/6/2017,AP,E0482319,HON. ROBERT E LATTA,12/5/2016,12/9/2016,TAXI/PARKING/TOLLS,115,2016,HON. ROBERT E LATTA
L000581,HON. BRENDA L. LAWRENCE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/8/2017,AP,E0491156,CITIBANK GOV CARD SERVICE,12/29/2016,1/24/2017,TAXI/PARKING/TOLLS,343.53,2017,CITIBANK GOV CARD SERVICE
L000581,HON. BRENDA L. LAWRENCE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/31/2017,AP,E0498960,JULIUS NICOLE W.,2/15/2017,2/24/2017,TAXI/PARKING/TOLLS,134.68,2017,JULIUS NICOLE W.
L000581,HON. BRENDA L. LAWRENCE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/31/2017,AP,E0498962,JULIUS NICOLE W.,12/15/2016,12/15/2016,TAXI/PARKING/TOLLS,162.71,2016,JULIUS NICOLE W.
L000586,HON. AL LAWSON  JR.,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/10/2017,AP,E0489937,HON AL LAWSON JR,1/3/2017,1/14/2017,TAXI/PARKING/TOLLS,168,2017,HON AL LAWSON JR
L000551,HON. BARBARA LEE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/21/2017,AP,E0489415,JOHNSON TIMOTHY X.,1/6/2017,1/20/2017,TAXI/PARKING/TOLLS,201.02,2017,JOHNSON TIMOTHY X.
L000551,HON. BARBARA LEE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/23/2017,AP,E0497892,CITIBANK GOV CARD SERVICE,1/3/2017,1/25/2017,TAXI/PARKING/TOLLS,2076.26,2017,CITIBANK GOV CARD SERVICE
L000551,HON. BARBARA LEE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/4/2017,AP,E0474139,CITIBANK GOV CARD SERVICE,9/28/2016,10/21/2016,TAXI/PARKING/TOLLS,214,2016,CITIBANK GOV CARD SERVICE
L000551,HON. BARBARA LEE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/24/2017,AP,E0481192,DEEGAN-MCCREE MICHAEL B.,11/17/2016,12/8/2016,TAXI/PARKING/TOLLS,143.01,2016,DEEGAN-MCCREE MICHAEL B.
L000551,HON. BARBARA LEE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/26/2017,AP,E0481196,CITIBANK GOV CARD SERVICE,10/25/2016,10/27/2016,TAXI/PARKING/TOLLS,161.12,2016,CITIBANK GOV CARD SERVICE
L000551,HON. BARBARA LEE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/1/2017,AP,E0483261,JOHNSON TIMOTHY X.,11/4/2016,12/15/2016,TAXI/PARKING/TOLLS,118.5,2016,JOHNSON TIMOTHY X.
L000551,HON. BARBARA LEE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/3/2017,AP,E0483379,CITIBANK GOV CARD SERVICE,12/12/2016,12/12/2016,TAXI/PARKING/TOLLS,793.36,2016,CITIBANK GOV CARD SERVICE
L000587,HON. JASON LEWIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/28/2017,AP,E0498100,SMITH AMY D.,2/20/2017,2/25/2017,TAXI/PARKING/TOLLS,202.01,2017,SMITH AMY D.
L000582,HON. TED LIEU,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/30/2017,AP,E0500612,ATHENA PARKING INC,12/1/2016,12/31/2016,TAXI/PARKING/TOLLS,300,2016,ATHENA PARKING INC
L000563,HON. DANIEL LIPINSKI,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/24/2017,AP,E0487074,LAUSTEN ERIC L,1/25/2017,1/26/2017,TAXI/PARKING/TOLLS,163.83,2017,LAUSTEN ERIC L
L000565,HON. DAVID LOEBSACK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/4/2017,AP,E0471539,PETERSEN KATHERINE A.,12/7/2016,12/8/2016,TAXI/PARKING/TOLLS,178.32,2016,PETERSEN KATHERINE A.
L000583,HON. BARRY LOUDERMILK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/16/2017,AP,E0488514,CITIBANK GOV CARD SERVICE,1/5/2017,1/27/2017,TAXI/PARKING/TOLLS,313.07,2017,CITIBANK GOV CARD SERVICE
L000583,HON. BARRY LOUDERMILK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/24/2017,AP,E0480830,CITIBANK GOV CARD SERVICE,12/2/2016,12/17/2016,TAXI/PARKING/TOLLS,173.71,2016,CITIBANK GOV CARD SERVICE
L000584,HON. MIA B. LOVE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/3/2017,AP,E0471718,CITIBANK GOV CARD SERVICE,10/26/2016,11/9/2016,TAXI/PARKING/TOLLS,105,2016,CITIBANK GOV CARD SERVICE
L000480,HON. NITA N. LOWEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/21/2017,AP,E0488687,CITIBANK GOV CARD SERVICE,1/3/2017,1/3/2017,TAXI/PARKING/TOLLS,128.38,2017,CITIBANK GOV CARD SERVICE
M001193,HON. THOMAS MACARTHUR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/15/2017,AP,E0487579,LUNA JR FRANK A.,2/1/2017,2/2/2017,TAXI/PARKING/TOLLS,146.48,2017,LUNA JR FRANK A.
M000087,HON. CAROLYN B. MALONEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/2/2017,AP,E0481748,TULLOCH REBECCA L.,1/9/2017,1/19/2017,TAXI/PARKING/TOLLS,108.85,2017,TULLOCH REBECCA L.
M000087,HON. CAROLYN B. MALONEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/22/2017,AP,E0489106,CITIBANK GOV CARD SERVICE,1/3/2017,1/25/2017,TAXI/PARKING/TOLLS,633.72,2017,CITIBANK GOV CARD SERVICE
M000087,HON. CAROLYN B. MALONEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/10/2017,AP,E0495578,HON CAROLYN B MALONEY,2/8/2017,2/26/2017,TAXI/PARKING/TOLLS,237.61,2017,HON CAROLYN B MALONEY
M000087,HON. CAROLYN B. MALONEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/11/2017,AP,E0476724,HON CAROLYN B MALONEY,11/29/2016,12/18/2016,TAXI/PARKING/TOLLS,424.27,2016,HON CAROLYN B MALONEY
M000087,HON. CAROLYN B. MALONEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/27/2017,AP,E0481741,BABOR EDWARD P,12/7/2016,12/17/2016,TAXI/PARKING/TOLLS,125,2016,BABOR EDWARD P
